year,age_group_id,pop_acs,pop_se,hh_acs,hh_se,headship_rate_acs,area_code,age_group,hh_sdo,pop_sdo,headship_rate_sdo
2000,0,4197665,9498.678818941387,1656640,6182.479582537479,0.3946575060182268,NA,NA,NA,NA,NA
2000,1,390746,3213.3783052399194,104201,1658.4263710781815,0.2666719556950039,NA,NA,NA,NA,NA
2000,2,1378134,5789.52036473239,726322,4238.064724307371,0.5270329300343798,NA,NA,NA,NA,NA
2000,3,938732,4655.595841795263,556606,3599.6994984350845,0.5929338725003516,NA,NA,NA,NA,NA
2000,4,395072,2971.461181474296,268845,2450.9126691308725,0.6804962133484529,NA,NA,NA,NA,NA
2001,0,4314724,38420.95460040529,1759996,24296.37132877978,0.40790465392456154,NA,NA,NA,NA,NA
2001,1,386599,12685.819256367164,118461,7322.45301958307,0.3064182783711287,NA,NA,NA,NA,NA
2001,2,1386426,22725.006881916277,771905,17107.261028238558,0.5567588894034012,NA,NA,NA,NA,NA
2001,3,991892,17010.9386779648,602103,13428.301296135698,0.607024756727547,NA,NA,NA,NA,NA
2001,4,399677,9908.621875154755,266054,8045.971870957291,0.665672530568434,NA,NA,NA,NA,NA
2002,0,4403659,41969.990251594914,1777348,26354.33231755751,0.40360709128477024,NA,NA,NA,NA,NA
2002,1,404347,13927.35822337779,120924,8019.634222184573,0.29905996582143557,NA,NA,NA,NA,NA
2002,2,1387412,24635.982999000273,740513,18161.131818741036,0.5337369144853872,NA,NA,NA,NA,NA
2002,3,1059985,19120.62530380711,639402,15004.879892884757,0.6032179700656142,NA,NA,NA,NA,NA
2002,4,408614,10850.00301284472,275195,8725.060432490562,0.6734840215949527,NA,NA,NA,NA,NA
2003,0,4447892,40424.24472730547,1800546,25513.178707813495,0.4048088397829803,NA,NA,NA,NA,NA
2003,1,413670,13719.653435207438,118704,7622.904986142698,0.2869533686271666,NA,NA,NA,NA,NA
2003,2,1406589,24020.568226445128,767275,17918.98181444307,0.5454862792187342,NA,NA,NA,NA,NA
2003,3,1060680,18034.617482410886,632622,13981.778190553974,0.5964305916958932,NA,NA,NA,NA,NA
2003,4,420597,10670.857137268436,281697,8828.45950864129,0.6697551337741353,NA,NA,NA,NA,NA
2004,0,4498611,40228.06740900243,1837352,25513.905089226704,0.408426512094511,NA,NA,NA,NA,NA
2004,1,431611,13385.492761952994,140323,8078.557539228146,0.32511451283679055,NA,NA,NA,NA,NA
2004,2,1393086,23563.946120404555,764874,17639.25288902933,0.5490500945383128,NA,NA,NA,NA,NA
2004,3,1069903,18023.522051068427,643710,14040.815822724027,0.6016526731862608,NA,NA,NA,NA,NA
2004,4,431351,10869.79015457826,288196,8898.168513850334,0.6681241031086053,NA,NA,NA,NA,NA
2005,0,4540639,26842.450822614763,1852775,17109.437420319966,0.4080427886911952,NA,NA,NA,NA,NA
2005,1,414659,8972.290285895207,119241,4946.342027128144,0.2875639983697448,NA,NA,NA,NA,NA
2005,2,1407842,16222.22181375496,773963,12263.445338485202,0.5497513215261371,NA,NA,NA,NA,NA
2005,3,1107409,11828.641697344427,666286,9272.716476891968,0.6016620778772793,NA,NA,NA,NA,NA
2005,4,442654,7038.380841641129,291921,5784.180063152638,0.6594789609943658,NA,NA,NA,NA,NA
2006,0,4650383,25557.063206781742,1849895,15796.02275578826,0.39779411717271457,NA,NA,NA,NA,NA
2006,1,428934,8965.41259101749,104731,4330.642648144774,0.24416576909268092,NA,NA,NA,NA,NA
2006,2,1409945,15199.887893622219,743360,10838.321970974093,0.527226239321392,NA,NA,NA,NA,NA
2006,3,1191931,11991.974945720061,707400,9244.045556507019,0.5934907305875927,NA,NA,NA,NA,NA
2006,4,455660,6896.059981364985,293389,5430.641759346144,0.6438770135627442,NA,NA,NA,NA,NA
2007,0,4752761,26476.315694640496,1861196,15924.973285487997,0.39160311238036166,NA,NA,NA,NA,NA
2007,1,424695,8668.101147171205,101684,4106.84376161008,0.23942829560037204,NA,NA,NA,NA,NA
2007,2,1423446,16022.994049023639,729093,10916.597345336028,0.5122027811381675,NA,NA,NA,NA,NA
2007,3,1248232,12504.599444441092,728248,9424.557059889481,0.5834235943318229,NA,NA,NA,NA,NA
2007,4,469630,7043.187355543684,301641,5526.6055477870605,0.6422949981900645,NA,NA,NA,NA,NA
2008,0,4830150,26698.029681226868,1898642,16013.843380571772,0.3930813742844425,NA,NA,NA,NA,NA
2008,1,427250,8723.916122083268,103074,4157.162834699959,0.24124985371562316,NA,NA,NA,NA,NA
2008,2,1437305,15888.014109327463,739044,10876.147377905258,0.5141873158445841,NA,NA,NA,NA,NA
2008,3,1271057,12636.654515557588,747211,9597.805660094205,0.5878658470863226,NA,NA,NA,NA,NA
2008,4,491064,7256.710236329495,308639,5533.852723843951,0.6285107440170732,NA,NA,NA,NA,NA
2009,0,4912174,26693.148688404923,1910173,15987.555547461758,0.3888650931339159,NA,NA,NA,NA,NA
2009,1,459734,9231.125316003172,110035,4490.855332673766,0.23934492554390147,NA,NA,NA,NA,NA
2009,2,1419419,15506.09173106178,724508,10657.28562271195,0.5104257446180445,NA,NA,NA,NA,NA
2009,3,1297232,12656.600824759353,747402,9520.270659009358,0.5761513746191892,NA,NA,NA,NA,NA
2009,4,511407,7416.493028515511,328093,5760.29127048461,0.6415496854755606,NA,NA,NA,NA,NA
2010,0,4933193,26368.900007089844,1960642,16162.526507183487,0.3974387379532891,0,Total,1971855,3822290,0.5158831485837024
2010,1,443079,8810.535475703984,107660,4399.1651814003535,0.24298149991310805,0,18-24,112367,489551,0.22953073326374576
2010,2,1399771,14868.923385287922,727496,10611.801752900095,0.5197250121627037,0,25-44,721728,1431228,0.5042718560564774
2010,3,1330507,12915.262989414674,776131,9759.574533849851,0.5833347738869469,0,45-64,781601,1346710,0.5803781066450832
2010,4,533734,7491.653792736329,348200,5952.772672012783,0.652384895846995,0,65 & Over,356158,554801,0.6419563050535237
2011,0,5001327,29717.350493866677,1975400,17960.310675298006,0.3949751735889295,0,Total,2008676,3888964,0.5165067097561201
2011,1,453448,9868.995931591437,102793,4469.4420888329505,0.2266919249836806,0,18-24,110306,491273,0.2245309634358086
2011,2,1424368,16899.660091580976,734557,12124.93571879141,0.5157073172101592,0,25-44,734393,1460953,0.5026807843921057
2011,3,1341799,14461.836172508267,776493,10854.167340762586,0.5786954678010641,0,45-64,791692,1361397,0.5815291204549444
2011,4,557840,8072.150960075423,360595,6302.085883342634,0.6464129499498064,0,65 & Over,372285,575341,0.6470684341981537
2012,0,5071158,28476.450890937096,1996107,17188.8972111434,0.39361956381560187,0,Total,2036225,3955652,0.5147634321724964
2012,1,463622,9540.416575747162,99618,4339.169523362201,0.21486900966735833,0,18-24,108463,493662,0.2197110573631351
2012,2,1436822,16280.87833410168,725741,11325.76142127599,0.5051015365856035,0,25-44,742282,1487085,0.499152368559968
2012,3,1350096,13829.893682935193,795693,10460.415236447,0.58936031215558,0,45-64,790515,1363595,0.5797285851004147
2012,4,592518,8209.211786418799,374965,6409.510759817322,0.6328330953658792,0,65 & Over,394965,611310,0.6460960887274869
2013,0,5150967,28671.080227645907,2002731,17141.571414206814,0.38880680074246254,0,Total,2065106,4024760,0.513100408471561
2013,1,466882,9604.928358738412,98265,4286.209558343086,0.21047073993000373,0,18-24,107117,498660,0.21480968996911723
2013,2,1469177,16269.621272622591,727336,11128.242850508057,0.4950635627974029,0,25-44,750685,1513578,0.49596717182728606
