YEAR,msa,HH,NEWHH,MISSINGHH,housing_units_seasonal,housing_units_uninhabitable,housing_units_vacant,housing_units,vacancy_rate,necessary_units,available_units,underproduction
2000,"Colorado Springs, CO",191679,195073.1761852155,3394.1761852155087,1770,286,7078,201652,0.03510007339376748,205340.1854581216,199596,5744.1854581215885
2000,"Denver-Aurora-Lakewood, CO",858904,877737.221053585,18833.22105358499,8379,920,24139,894611,0.026982677387154864,923933.9168985105,885312,38621.916898510535
2000,"Fort Collins, CO",90581,91841.68625272902,1260.6862527290268,1186,23,2881,95380,0.030205493814216815,96675.45921339898,94171,2504.459213398979
2000,"Grand Junction, CO",44196,44196,5.684341886080802e-14,231,34,1560,46469,0.0335707676085132,46522.1052631579,46204,318.1052631579005
2000,"Greeley, CO",62645,62645,9.094947017729282e-13,252,54,2401,66701,0.03599646182216159,65942.1052631579,66395,-452.8947368421068
2000,Not in identifiable area,356372,360331.1161482449,3959.116148244893,62501,1092,20388,447096,0.045600944763540714,379295.9117349946,383503,-4207.088265005383
2000,"Pueblo, CO",52263,52263,1.3642420526593924e-12,293,58,2671,55933,0.047753562297749096,55013.68421052632,55582,-568.3157894736796
2001,NA,1759996,NA,NA,34417,3666,67837,1874400,0.03619131455399061,NA,1836317,NA
2002,NA,1777348,NA,NA,30467,731,73740,1929092,0.03822523757290995,NA,1897894,NA
2003,NA,1800546,NA,NA,23811,1837,104135,1973622,0.052763396435588986,NA,1947974,NA
2004,NA,1837352,NA,NA,34097,1961,102172,2010806,0.05081146565108718,NA,1974748,NA
2005,"Colorado Springs, CO",214550,218625.6027561506,4075.602756150595,1517,NA,12920,229193,0.056371704196899554,230132.21342752693,227676,2456.2134275269345
2005,"Denver-Aurora-Lakewood, CO",951422,970355.2242899335,18933.224289933423,10663,737,53829,1010566,0.053266189442352105,1021426.5518841405,999166,22260.55188414047
2005,"Fort Collins, CO",106344,107685.26684017901,1341.2668401790188,2571,NA,5274,111648,0.04723774720550301,113352.91246334634,109077,4275.912463346336
2005,"Grand Junction, CO",51264,52638.09637116852,1374.0963711685163,498,NA,1276,54198,0.023543304180966087,55408.52249596686,53700,1708.522495966863
2005,"Greeley, CO",84731,86696.39448645718,1965.3944864571804,1384,413,6877,86193,0.07978606151311592,91259.36261732335,84396,6863.36261732335
2005,Not in identifiable area,388065,395332.7792193072,7267.779219307207,67864,2543,26762,494065,0.05416696183700525,416139.76759927074,423658,-7518.232400729263
2005,"Pueblo, CO",56399,56824.2108871214,425.2108871214041,196,174,4528,60815,0.07445531530050152,59814.95882854884,60445,-630.0411714511574
2006,"Colorado Springs, CO",219225,226336.8255941579,7111.8255941579155,1688,409,13884,239752,0.05790984016817378,238249.2900991136,237655,594.2900991135975
2006,"Denver-Aurora-Lakewood, CO",953486,981050.2538371864,27564.25383718639,8550,724,51217,1031067,0.04967378453582551,1032684.4777233541,1021793,10891.477723354124
2006,"Fort Collins, CO",107339,109140.11245923386,1801.1124592338647,2445,207,4647,115541,0.04021948918565704,114884.3289044567,112889,1995.3289044567064
2006,"Grand Junction, CO",52954,54051.01261438726,1097.0126143872592,368,NA,850,55597,0.015288594708347572,56895.802751986594,55229,1666.8027519865936
2006,"Greeley, CO",81311,85416.76660381994,4105.76660381994,988,NA,6325,90301,0.07004352111272301,89912.38589875783,89313,599.3858987578278
2006,Not in identifiable area,378833,392111.43855192047,13278.43855192047,81040,1597,25457,499918,0.05092235126560756,412748.8826862321,417281,-4532.1173137679
2006,"Pueblo, CO",56747,58889.3539303605,2142.3539303605016,744,248,3969,63059,0.06294105520227089,61988.79361090579,62067,-78.20638909420813
2007,"Colorado Springs, CO",217038,224155.63378870988,7117.633788709884,3167,NA,18679,243600,0.07667898193760263,235953.29872495777,240433,-4479.701275042229
2007,"Denver-Aurora-Lakewood, CO",960987,999539.0765723422,38552.076572342165,8009,1013,56342,1044751,0.0539286394557172,1052146.3963919391,1035729,16417.39639193914
2007,"Fort Collins, CO",106586,109926.71341081677,3340.7134108167675,1435,NA,6472,116979,0.05532616965438241,115712.32990612292,115544,168.32990612291906
2007,"Grand Junction, CO",53193,54616.6561690567,1423.6561690567064,383,NA,1315,56977,0.02307948821454271,57491.21702005969,56594,897.2170200596884
2007,"Greeley, CO",85764,89118.98289266492,3354.982892664917,678,226,5367,92599,0.05795958919642761,93809.4556764894,91695,2114.4556764893932
2007,Not in identifiable area,381476,395390.0759038641,13914.075903864103,82334,2170,25972,509684,0.05095706359234349,416200.07989880437,425180,-8979.920101195632
2007,"Pueblo, CO",56152,57440.13671256997,1288.1367125699674,623,NA,3946,62768,0.06286642875350497,60463.30180270523,62145,-1681.6981972947688
