YEAR,msa,HH,HH_se,NEWHH,NEWHH_se,MISSINGHH,MISSINGHH_se,housing_units_seasonal,housing_units_seasonal_se,housing_units_uninhabitable,housing_units_uninhabitable_se,housing_units_vacant,housing_units_vacant_se,housing_units,housing_units_se,vacancy_rate,necessary_units,necessary_units_se,available_units,available_units_se,underproduction,underproduction_se
2005,"Colorado Springs, CO",214550,5805.691395164604,218625.6027561506,5623.752608529805,4075.602756150595,8082.861249448373,1517,454.7058324895532,NA,NA,12920,1702.7870138883775,229193,6036.935494168881,0.056371704196899554,230132.21342752693,10475.598796375736,227676,6054.035642020625,2456.2134275269345,12099.153594259595
2005,"Denver-Aurora-Lakewood, CO",951422,12562.92985081904,970355.2242899335,11944.64256594425,18933.224289933427,17334.984639876882,10663,1869.8051438966254,737,389.0608249247429,53829,4006.1418158723427,1010566,13191.743541596137,0.053266189442352105,1021426.5518841405,22535.38673491924,999166,13329.277447366634,22260.55188414047,26182.308770642263
2005,"Fort Collins, CO",106344,3852.3681200393607,107685.26684017901,3713.852602574943,1341.2668401790197,5351.022452386859,2571,967.0063237224206,NA,NA,5274,1302.445021719236,111648,4088.9733213645154,0.04723774720550301,113352.91246334634,6940.521459988314,109077,4201.762017648061,4275.912463346336,8113.300326593872
2005,"Grand Junction, CO",51264,2665.1477206840796,52638.09637116852,2492.1908722526982,1374.0963711685163,3648.839228687283,498,299.8361682912825,NA,NA,1276,553.306175656879,54198,2754.54534462097,0.023543304180966087,55408.52249596686,4756.338833846291,53700,2770.816086171844,1708.522495966863,5504.560008369693
2005,"Greeley, CO",84731,3552.0431145861867,86696.39448645718,3322.114999467368,1965.3944864571822,4863.4821226735485,1384,680.2833961774016,413,279.5869112144769,6877,1170.1777380298868,86193,3532.0227155315697,0.07978606151311592,91259.36261732335,6339.470397888147,84396,3607.7886305974353,6863.36261732335,7294.177385337445
2005,Not in identifiable area,388065,7879.953280861231,395332.7792193072,7641.325363065482,7267.779219307207,10976.498394879101,67864,3905.4171973980874,2543,711.4834771802475,26762,2624.4311487237524,494065,9215.70015354183,0.05416696183700525,416139.76759927074,14223.276179797762,423658,10034.322176610842,-7518.232400729263,17406.58515708427
2005,"Pueblo, CO",56399,2662.040364332699,56824.2108871214,2544.6075107919037,425.2108871214041,3682.5923322185877,196.00000000000003,196.0000000038042,174,174.00000000192423,4528,944.7445365746785,60815,2792.876515154927,0.07445531530050152,59814.95882854884,4783.158958794788,60445,2805.1472740136282,-630.0411714511574,5545.039301394079
2006,"Colorado Springs, CO",219225,5309.164682770619,226336.8255941579,5076.326955445882,7111.8255941579155,7345.4969190222455,1688,574.1599621736219,409,290.146268192079,13884,1792.5695721075708,239752,5712.677659849204,0.05790984016817378,238249.2900991136,9540.324368089336,237655,5748.785138135638,594.2900991135975,11138.506166125168
2006,"Denver-Aurora-Lakewood, CO",953486,11432.3277499826,981050.2538371864,10810.11487829339,27564.253837186392,15733.934710202733,8550,1282.7185898795428,724,401.4590577488573,51217,3457.6346781616926,1031067,12105.068432536438,0.04967378453582551,1032684.4777233541,20472.3939316857,1021793,12179.458859582446,10891.477723354124,23821.37971248481
2006,"Fort Collins, CO",107339,3862.153372866022,109140.11245923386,3761.530534185233,1801.1124592338665,5391.228119375792,2445,720.4662392956743,207,206.99999999574348,4647,1049.2443559633634,115541,4088.11168707777,0.04021948918565704,114884.3289044567,6980.905441808149,112889,4156.269693846267,1995.3289044567064,8124.507280780267
