msa,AGEGROUP,MET2013,NEWHR,PUMA,age_dummy,YEAR,NEWHH_,NEWHH__se,HH,HH_se,NEWHH,NEWHH_se,MISSINGHH,MISSINGHH_se
"Colorado Springs, CO","[0,15)",17820,0,901,FALSE,2005,0,0,0,0,0,0,0,0
"Colorado Springs, CO","[0,15)",17820,0,902,FALSE,2005,0,0,0,0,0,0,0,0
"Colorado Springs, CO","[0,15)",17820,0,903,FALSE,2005,0,0,0,0,0,0,0,0
"Colorado Springs, CO","[0,15)",17820,0,904,FALSE,2005,0,0,0,0,0,0,0,0
"Colorado Springs, CO","[0,15)",17820,0,905,FALSE,2005,0,0,0,0,0,0,0,0
"Colorado Springs, CO","[15,20)",17820,0,901,FALSE,2005,0,0,0,0,0,0,0,0
"Colorado Springs, CO","[15,20)",17820,0,902,FALSE,2005,0,0,0,0,0,0,0,0
"Colorado Springs, CO","[15,20)",17820,0,903,FALSE,2005,0,0,0,0,0,0,0,0
"Colorado Springs, CO","[15,20)",17820,0,904,FALSE,2005,0,0,0,0,0,0,0,0
"Colorado Springs, CO","[15,20)",17820,0,905,FALSE,2005,0,0,215,153.40308892228103,215,153.40308892228103,0,216.94472886381573
"Colorado Springs, CO","[15,20)",17820,0.09279399108051013,901,TRUE,2005,263.9989046240513,49.75641485111639,0,0,263.9989046240513,49.75641485111639,263.9989046240513,49.75641485111639
"Colorado Springs, CO","[15,20)",17820,0.09279399108051013,902,TRUE,2005,239.13011501447463,47.94197012400681,223,134.4779293227423,239.13011501447463,47.94197012400681,16.130115014474626,142.76815462246347
"Colorado Springs, CO","[15,20)",17820,0.09279399108051013,903,TRUE,2005,139.0981926296847,45.85558977280966,202,201.9999999998901,202,201.9999999998901,0,285.67113959920977
"Colorado Springs, CO","[15,20)",17820,0.09279399108051013,904,TRUE,2005,344.2657069086926,65.39061357867938,234,143.14068810054422,344.2657069086926,65.39061357867938,110.26570690869261,157.36959342291462
"Colorado Springs, CO","[15,20)",17820,0.09279399108051013,905,TRUE,2005,235.41835537125422,55.54920967095063,43,42.99999999999906,235.41835537125422,55.54920967095063,192.41835537125422,70.24752447643371
"Colorado Springs, CO","[20,25)",17820,0.369797274433199,901,TRUE,2005,1672.9628695357922,250.86812869101786,1390,405.00326174940227,1672.9628695357922,250.86812869101786,282.96286953579215,476.4057724467536
"Colorado Springs, CO","[20,25)",17820,0.369797274433199,902,TRUE,2005,1844.9186021472296,306.7935775906163,2029,541.6807654076584,2029,541.6807654076584,0,766.0522849161495
"Colorado Springs, CO","[20,25)",17820,0.369797274433199,903,TRUE,2005,2338.2281662411174,351.3539669717858,2602,670.3542843550734,2602,670.3542843550734,0,948.0241205298552
"Colorado Springs, CO","[20,25)",17820,0.369797274433199,904,TRUE,2005,3716.0928107792165,573.9273313628535,2339,599.7667159248391,3716.0928107792165,573.9273313628535,1377.0928107792165,830.1281197601688
"Colorado Springs, CO","[20,25)",17820,0.369797274433199,905,TRUE,2005,2176.256960039376,343.55985175559414,2503,564.9141574740158,2503,564.9141574740158,0,798.9092630763236
